P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,
6482773,6482753,6482841,6482854,6482869,6482862,6482897,6482917,6482928,6482921,,1. Locate the player you want to select in the list below ,,,,,,
6482773,6482753,6482838,6482852,6482868,6482862,6482897,6482918,6482917,6482928,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,
6482773,6482763,6482839,6482862,6482869,6482881,6482897,6482918,6482928,6482907,,3. Paste the ID into the roster position desired ,,,,,,
6482773,6482763,6482849,6482857,6482871,6482874,6482897,6482938,6482930,6482928,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,
6482773,6482753,6482849,6482860,6482871,6482861,6482898,6482938,6482930,6482921,,5. You can create up to 500 lineups per file ,,,,,,
6482763,6482777,6482848,6482858,6482872,6482862,6482899,6482930,6482925,6482917,,,,,,,,
6482777,6482762,6482848,6482858,6482872,6482861,6482899,6482930,6482925,6482921,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
6482763,6482777,6482848,6482852,6482872,6482884,6482899,6482930,6482925,6482914,,SP,David Price (6482773),David Price,6482773,11000,Bos@Cle 01:10PM ET,Bos
6482773,6482763,6482849,6482860,6482874,6482881,6482898,6482938,6482930,6482908,,SP,Masahiro Tanaka (6482762),Masahiro Tanaka,6482762,10500,Hou@NYY 01:05PM ET,NYY
6482773,6482763,6482849,6482860,6482868,6482874,6482898,6482937,6482925,6482914,,SP,Corey Kluber (6482777),Corey Kluber,6482777,10300,Bos@Cle 01:10PM ET,Cle
6482777,6482762,6482848,6482853,6482872,6482884,6482899,6482930,6482925,6482908,,SP,Dallas Keuchel (6482763),Dallas Keuchel,6482763,10100,Hou@NYY 01:05PM ET,Hou
6482773,6482762,6482839,6482861,6482878,6482881,6482894,6482907,6482908,6482921,,SP,Carlos Carrasco (6482769),Carlos Carrasco,6482769,10000,Bos@Cle 01:10PM ET,Cle
6482753,6482762,6482849,6482857,6482872,6482874,6482899,6482938,6482931,6482930,,SP,Matt Harvey (6482749),Matt Harvey,6482749,9900,NYM@KC 04:15PM ET,NYM
6482777,6482753,6482838,6482854,6482878,6482880,6482895,6482906,6482915,6482921,,SP,Jacob deGrom (6482754),Jacob deGrom,6482754,9900,NYM@KC 04:15PM ET,NYM
6482773,6482763,6482838,6482853,6482867,6482881,6482895,6482908,6482912,6482915,,SP,Noah Syndergaard (6482753),Noah Syndergaard,6482753,9400,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SP,Michael Pineda (6482759),Michael Pineda,6482759,9000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Lance McCullers (6482767),Lance McCullers,6482767,9000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SP,Danny Salazar (6482778),Danny Salazar,6482778,8800,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,SP,Collin McHugh (6482760),Collin McHugh,6482760,8300,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SP,Clay Buchholz (6482770),Clay Buchholz,6482770,8200,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,SP,Luis Severino (6482766),Luis Severino,6482766,8200,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Mike Fiers (6482764),Mike Fiers,6482764,8100,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SP,Steven Matz (6482751),Steven Matz,6482751,8000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SP,Yordano Ventura (6482752),Yordano Ventura,6482752,8000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,SP,Zack Wheeler (6482750),Zack Wheeler,6482750,7900,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SP,Ian Kennedy (6482745),Ian Kennedy,6482745,7600,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,SP,CC Sabathia (6482755),CC Sabathia,6482755,7500,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Rick Porcello (6482775),Rick Porcello,6482775,7400,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,SP,Nathan Eovaldi (6482761),Nathan Eovaldi,6482761,7400,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Trevor Bauer (6482783),Trevor Bauer,6482783,7200,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,SP,Eduardo Rodríguez (6482781),Eduardo Rodríguez,6482781,7100,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,SP,Josh Tomlin (6482772),Josh Tomlin,6482772,7000,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,SP,Brian Johnson (6482780),Brian Johnson,6482780,6900,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,SP,Mike Minor (6482746),Mike Minor,6482746,6700,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,SP,Edinson Vólquez (6482743),Edinson Vólquez,6482743,6600,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,SP,Chris Young (6482742),Chris Young,6482742,6200,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,SP,Scott Feldman (6482756),Scott Feldman,6482756,6100,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SP,Jason Vargas (6482744),Jason Vargas,6482744,6000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,RP,Kris Medlen (6482791),Kris Medlen,6482791,6000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,SP,Doug Fister (6482757),Doug Fister,6482757,5600,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SP,Iván Nova (6482758),Iván Nova,6482758,5600,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Brandon Workman (6482776),Brandon Workman,6482776,5100,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,SP,Bartolo Colón (6482740),Bartolo Colón,6482740,5000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SP,Cody Anderson (6482782),Cody Anderson,6482782,4900,Bos@Cle 01:10PM ET,Cle
,,,,,,,,,,,OF,Yoenis Céspedes (6482914),Yoenis Céspedes,6482914,4700,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SP,Danny Duffy (6482748),Danny Duffy,6482748,4600,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,OF,Mookie Betts (6482938),Mookie Betts,6482938,4600,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Curtis Granderson (6482906),Curtis Granderson,6482906,4500,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,1B,Lucas Duda (6482852),Lucas Duda,6482852,4300,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,OF,George Springer (6482925),George Springer,6482925,4300,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,OF,Lorenzo Cain (6482907),Lorenzo Cain,6482907,4200,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,2B,José Altuve (6482869),José Altuve,6482869,4200,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SS,Carlos Correa (6482897),Carlos Correa,6482897,4200,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,1B,David Ortiz (6482857),David Ortiz,6482857,4100,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,OF,Jacoby Ellsbury (6482920),Jacoby Ellsbury,6482920,4100,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,SP,Dillon Gee (6482747),Dillon Gee,6482747,4100,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,1B,Eric Hosmer (6482853),Eric Hosmer,6482853,4100,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,RP,Buddy Carlyle (6482784),Buddy Carlyle,6482784,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Scott Rice (6482785),Scott Rice,6482785,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,SP,Chien-Ming Wang (6482741),Chien-Ming Wang,6482741,4000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,3B,David Wright (6482880),David Wright,6482880,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Sergio Santos (6482803),Sergio Santos,6482803,4000,Hou@NYY 01:05PM ET,NYY
,,,,,,,,,,,RP,Pat Neshek (6482804),Pat Neshek,6482804,4000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,RP,Joakim Soria (6482786),Joakim Soria,6482786,4000,NYM@KC 04:15PM ET,KC
,,,,,,,,,,,RP,Jim Henderson (6482787),Jim Henderson,6482787,4000,NYM@KC 04:15PM ET,NYM
,,,,,,,,,,,RP,Darin Downs (6482805),Darin Downs,6482805,4000,Hou@NYY 01:05PM ET,Hou
,,,,,,,,,,,SP,Felipe Paulino (6482768),Felipe Paulino,6482768,4000,Bos@Cle 01:10PM ET,Bos
,,,,,,,,,,,RP,Jerry Blevins (6482788),Jerry Blevins,6482788,4000,NYM@KC 04:15PM ET,NYM
