Felipe Paulino,Felipe Paulino
Matt Barnes,Matt Barnes
Joakim Soria,Joakim Soria
Jackie Bradley Jr.,Jackie Bradley Jr.
Mark Teixeira,Mark Teixeira
Will Harris,Will Harris
Kevin Plawecki,Kevin Plawecki
Clay Buchholz,Clay Buchholz
Eury Perez,Eury Perez
Max Stassi,Max Stassi
David Price,David Price
Dustin Pedroia,Dustin Pedroia
Rick Porcello,Rick Porcello
Trevor Bauer,Trevor Bauer
Michael Feliz,Michael Feliz
Tommy Hunter,Tommy Hunter
Evan Gattis,Evan Gattis
Matt Duffy,Matt Duffy
Yordano Ventura,Yordano Ventura
Jose Ramirez,Jose Ramirez
Zach McAllister,Zach McAllister
Koji Uehara,Koji Uehara
Joe Kelly,Joe Kelly
Drew Butera,Drew Butera
Johnny Barbato,Johnny Barbato
Chris Young,Chris Young
Cody Anderson,Cody Anderson
Doug Fister,Doug Fister
Cesar Puello,Cesar Puello
Neil Walker,Neil Walker
Juan Uribe,Juan Uribe
Jason Castro,Jason Castro
Francisco Lindor,Francisco Lindor
Ivan Nova,Ivan Nova
Abraham Almonte,Abraham Almonte
Buddy Carlyle,Buddy Carlyle
Travis d'Arnaud,Travis d'Arnaud
Bartolo Colon,Bartolo Colon
Dallas Keuchel,Dallas Keuchel
Dustin Ackley,Dustin Ackley
Ronald Torreyes,Ronald Torreyes
Preston Tucker,Preston Tucker
David Wright,David Wright
Alex Rodriguez,Alex Rodriguez
Mike Napoli,Mike Napoli
Greg Holland,Greg Holland
Ross Detwiler,Ross Detwiler
Eric Campbell,Eric Campbell
Andrew Miller,Andrew Miller
Brett Gardner,Brett Gardner
Michael Pineda,Michael Pineda
Alejandro De Aza,Alejandro De Aza
Brian Johnson,Brian Johnson
Erik Kratz,Erik Kratz
Kendrys Morales,Kendrys Morales
Darin Downs,Darin Downs
Rusney Castillo,Rusney Castillo
Mason Williams,Mason Williams
Carson Smith,Carson Smith
Erik Goeddel,Erik Goeddel
Jason Vargas,Jason Vargas
Danny Salazar,Danny Salazar
Paulo Orlando,Paulo Orlando
Bryan Shaw,Bryan Shaw
Aaron Hicks,Aaron Hicks
Chien-Ming Wang,Chien-Ming Wang
Yan Gomes,Yan Gomes
Steven Matz,Steven Matz
